Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (mg)","Kwas omega 6 (mg)","Węglowodany (g)","Cukry (g)","Cholesterol (g)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2023-01-11,Śniadanie,"Wędzok ustrzycki masarnia u Jozefa","64x g",64,83.84,12.8,,,3.2,,,,,,0.896,0.512,,,,,,,,,,,,,,,,,,,,,,,,563.2,,,1.408
2023-01-11,Śniadanie,"Mleko spożywcze 2% tłuszczu","250x g",250,127.5,8.5,0,8.5,5,3,1.5,0.25,,,12.25,,20,0,,12.5,62.5,0,0.5,,0.25,,1,2.5,0,0.25,0.25,,0.75,215,,30,0,352.5,,112.5,300,0.25,
2023-01-11,Śniadanie,"Papryka czerwona","125x g",125,40,1.625,1.625,,0.625,0.125,0.025,0.35,0.125,0.225,8.25,5.75,,2.5,,65,660,0.05,0.15,,0.5625,,,180,,3.625,2,6.125,0.325,38.75,1.25,13.75,0.1,318.75,,4,16.25,0.75,0.0125
2023-01-11,Lunch,"Płatki owsiane","55x g",55,208.45,7.04,7.04,0,3.96,0.6875,1.4355,1.595,0.0825,1.5125,38.115,0.495,0,3.795,,47.3,0,0.253,0.0825,,0.0825,,0,0,0,0.99,0.4785,0.66,1.705,238.15,3.245,70.95,0.3025,208.45,,2.75,29.7,2.145,0.0055
2023-01-11,Lunch,Banan,"135x g",135,130.95,1.35,1.35,0,0.405,0.162,0.0405,0.081,0.027,0.054,31.725,25.92,0,2.295,0,29.7,10.8,0.054,0.135,0.4995,0.486,,0,12.15,0,0.3645,0.675,0.675,0.243,27,3.78,44.55,0.135,533.25,1.404,1.35,8.1,0.54,0
2023-01-11,Lunch,"Mleko migdałowe unsweetened","250x g",250,37.5,1.25,,,3,0.25,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2023-01-11,Lunch,"SFD WPC PROTEIN ECONO 750 g VANILLA","20x g",20,77.4,14,,,1.3,0.7,,,,,2.44,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
2023-01-11,Obiad,"Skyr drink yogurt","1x opakowanie",350,273,22.75,,,5.25,,,,,,33.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2023-01-11,Obiad,"Choc Peanut Butter High Protein Low Sugar Bar","1x opakowanie",32,119.36,9.92,,,5.12,3.52,,,0,0,11.52,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1824
2023-01-11,Przekąska,"Kapusta kwaszona","150x g",150,28.5,0.9,,,0,0,,,,,4.65,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41
2023-01-11,Przekąska,"Karkówka z ziemniakami i marchewką ","1x porcja",563.33,687.65,50.38,5.39,0,29.16,11.28,0,0.24,0.04,0.2,58.85,5.8,,7.98,,61.03,1272.03,0.28,0.14,,0.92,,,29.37,0,0.51,3.75,10.12,1.11,172.97,9.6,68.23,0.42,1410.97,,82.33,37.33,1.84,0.69
2023-01-12,Śniadanie,"Serek wiejski naturalny","1x opakowanie",200,194,22,0,22,10,7,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,560,,,1.4
2023-01-12,Śniadanie,"Chleb żytni razowy","100x g",100,229,6.3,6.3,0,1.7,0.3,0.39,1,0.08,0.92,51.2,1.6,0,8.4,,28.5,,0.14,0.1,,0.17,,0,0,0,0.86,0.86,,2.54,204,2.7,64,0.24,279,18,457.2,25,2.3,1.14
2023-01-12,Śniadanie,"Ser Piórko","90x g",90,147.6,31.5,,,2.43,1.62,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,720,,,1.8
2023-01-12,Śniadanie,"Wędzok ustrzycki masarnia u Jozefa","100x g",100,131,20,,,5,,,,,,1.4,0.8,,,,,,,,,,,,,,,,,,,,,,,,880,,,2.2
2023-01-12,Śniadanie,"Mleko spożywcze 2% tłuszczu","250x g",250,127.5,8.5,0,8.5,5,3,1.5,0.25,,,12.25,,20,0,,12.5,62.5,0,0.5,,0.25,,1,2.5,0,0.25,0.25,,0.75,215,,30,0,352.5,,112.5,300,0.25,
2023-01-12,Śniadanie,"Papryka czerwona","125x g",125,40,1.625,1.625,,0.625,0.125,0.025,0.35,0.125,0.225,8.25,5.75,,2.5,,65,660,0.05,0.15,,0.5625,,,180,,3.625,2,6.125,0.325,38.75,1.25,13.75,0.1,318.75,,4,16.25,0.75,0.0125
2023-01-12,Lunch,"Płatki owsiane","55x g",55,208.45,7.04,7.04,0,3.96,0.6875,1.4355,1.595,0.0825,1.5125,38.115,0.495,0,3.795,,47.3,0,0.253,0.0825,,0.0825,,0,0,0,0.99,0.4785,0.66,1.705,238.15,3.245,70.95,0.3025,208.45,,2.75,29.7,2.145,0.0055
2023-01-12,Lunch,Banan,"70x g",70,67.9,0.7,0.7,0,0.21,0.084,0.021,0.042,0.014,0.028,16.45,13.44,0,1.19,0,15.4,5.6,0.028,0.07,0.259,0.252,,0,6.3,0,0.189,0.35,0.35,0.126,14,1.96,23.1,0.07,276.5,0.728,0.7,4.2,0.28,0
2023-01-12,Lunch,"Mleko migdałowe unsweetened","310x g",310,46.5,1.55,,,3.72,0.31,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.434
2023-01-12,Lunch,"Borówki amerykańskie","80x g",80,47.2,0.72,,,0.24,,,,,,12.16,8,,1.6,,,,,,,0.08,,,7.76,,,,,,,,4.8,,,,,4.8,0.24,
